Please enter your identification number.,How competitive did you feel GLaDOS was?,How did you feel about GLaDOS?,"Describe how your interaction with GLaDOS affected your style of play, if at all?","Did you recognize a change in Kuka's play style as the game progessed, if yes, how did it change?","Did you change your play style as the game progressed? If yes, in what way did it change? Why?",Was there anything unclear about the experiment? Was there anything confusing about the game? Were there any technical difficulties?,"Has this experiment changed your perception of feeling about robots in any way? If so, how?",I have played this game before:,I understood the rules of the game I was playing:,How would you rate GLaDOS in terms of friendliness?,How would you rate GLaDOS in terms of playfulness?,How would you rate GLaDOS in terms of entertainment?,How would you rate GLaDOS in terms of teamwork?,How would you rate GLaDOS in terms of intelligence?,How would you rate GLaDOS in terms of cleverness?,How would you rate GLaDOS in terms of sincerity?,How would you rate GLaDOS in terms of fairness?,How would you rate GLaDOS in terms of honesty?,How would you rate yourself in terms of friendliness?,How would you rate yourself in terms of teamwork?,How would you rate yourself in terms of intelligence?,How would you rate yourself in terms of cleverness?,How would you rate yourself in terms of sincerity?,How would you rate yourself in terms of fairness?,How would you rate yourself in terms of honesty?,How often did you speak to GLaDOS during the game?,How often did you want to speak to GLaDOS during the game?,How would you rate how well GLaDOS played the game?,How responsive was GLaDOS to you?,To what extent did you feel you could interact with GLaDOS?,How natural was the interaction with GLaDOS?,How much control over the interaction did you fell you had?,"If I were playing as part of a team, I  would want GLaDOS on my team.",I adjusted my playing style to be equal to my opponent.,GLaDOS improved at the game over time.,I would like GLaDOS to be a friend of mine.,I would like to talk to GLaDOS.,"I GLaDOS were feeling bad, I'd try to cheer GLaDOS up.","GLaDOS makes me feel comfortable, as if I am with a friend.",I like GLaDOS.,I'd like to play with GLaDOS again.,Anything else you want to tell us?,How familiar are you with psychology research?,Please describe your previous familiarity with psychology research,What changes could be made to this experiment to improve your experience as a player?,"Were you in a rush when you performed the experiment? If so, why.",
11,GLaDOS was quite competitive. He was using reacting differently throughout the game. ,"At first, I treated it as if I were playing a computer and did not pay attention to his moves as much as I just did to mine. However, I felt our results were improving once I started thinking of him as a rational player and really analyzing his decisions. ","I would see what decisions GLaDOS made depending on what situation we were in. I tried understanding why and when he would pass cards to me and once I saw him doing that more often in certain circumstances, I also started giving him more cards and not taking single wins immediately in an attempt to get team wins. ",I do not think it changed,"It did change - I did not immediately take the single wins,. instead would take the gamble and try to reach team wins through passing cards and drawing new ones. ","I think the instructions are clear and there were no technical difficulties. I think the game strategy is unclear at the beginning, but that is something each player has to figure out simply by playing. ",No it did not impact my feelings about robots ,NO,7 (fully understood),5,4,5,3,3,4,1 (not sincere),5,5,5,4,5,5,5,5,6,1 (not at all),4,5,4,2,2,3,5,5,5,1 (disagree),1 (disagree),1 (disagree),1 (disagree),6,4,Nothing more ,1 (not familiar),N/A,None,I was not ,
12,Not too competitive,Mostly neutral; a little amused,Not all that much. I don't know how else I was supposed to have interacted with GLaDOS aside from occasionally looking over as the next move was about to be made. ,No,"Yes -- at first I just took the single win whenever I had the opportunity, but as the game progressed I wanted to wait a little longer and see if we could manage a team win.",,"I don't believe I've ever participated in an experiment with robots before. So this was cool. I'm not sure if my ""perception"" has changed significantly.",NO,4,4,4,5,5,4,5,3,6,5,6,6,4,3,5,6,7 (very honest),1 (not at all),3,4,4,2,3,2,5,5,5,5,7 (agree),4,4,5,5,No. I guess this was cool. If I had known of any other ways in which I could interact with GLaDOS I probably would have tried it out to see what would happen.,3,"-Participated in research study
-Worked as an assistant for a psychology professor (my work didn't have too much to do with psychology/research, but did a little bit of lit review and data analysis)",Easy access to instructions as game is being played,No,
14,"Quite a bit, at the start",Viewed him initially as an opponent,My choices were based slightly off what he did,He became more team - oriented,I declined more single wins for a team one. ,Not really,Not really!,NO,6,4,4,3,5,4,4,5,6,4,4,2,6,5,5,4,5,1 (not at all),2,4,5,4,4,4,4,5,5,3,1 (disagree),3,1 (disagree),2,4,Good job!,3,Taken psychology and conducted some very basic stress and memory experiments,Nothing much ,No,
15,Not at all. When given the opportunity for a single win she did not take it. I felt like her goal was to help us both win.,I felt that Glados was trying to help me. ,"When Glados made gestures such as nodding or looking up or to the side it gave her a sort of personality that I enjoyed, but was unsure of what it meant. ",As the game went on it seemed more willing to donate cards.,"At first I wanted to try to get double wins, but eventually realized that getting single wins was much easier, so unless I had three of the same cards would not pass up taking a single win. If I though a double win was possible I would pass up a single win, even towards the end. ","Everything was pretty clear, except how it was scored. ","My perceptions of robots have not really changed. I was surprised, however, that a robot, especially one without any human like features, could appear to have a personality, with its random movements, nods etc. ",NO,5,6,5,5,6,3,3,5,6,6,3,4,5,5,6,6,5,1 (not at all),6,4,2,3,1 (not natural),3,2,3,3,4,5,6,2,6,4,no,6,Have taken a psychology class and participated in several psychology research studies,"Perhaps more or clearer instruction, though these weren't a big problems ",No.,
16,Not competitive at all... I felt that GLaDOS did not take opportunities to take a single win even when it was clear that it was a single win situation. ,GLaDOS seemed very interesting and it was amazing to watch it make a move before it submitted its decision. ,Did not affect style of play at all. ,"I didn't recognize an obvious change, but as I mentioned before, it did seem like Kuka did not take opportunities to win a single win. ","Yes, I tried to help Kuka sometimes because I felt bad. ","Yes, even when I didn't select a card to give to Kuka, the game still gave my first card to Kuka if I hit the ""Give card"" button. Maybe this should be fixed so that a user only can give a card if they specifically select one beforehand. ","No, but it is interesting to see a robot in action. ",NO,7 (fully understood),4,3,4,5,5,2,3,3,4,5,5,5,5,6,5,5,1 (not at all),4,2,4,1 (none),2,2,1 (disagree),5,2,3,5,6,2,4,5,N/A. ,2,I have no prior familiarity with psychology research besides papers and books I have read. ,Interactions with GLaDOS perhaps?,No. ,
103,"I don't feel like he was that competitive. Since I didn't know what Glados had in his hand, there wasn't much incentive to give him cards, and I ended up drawing cards every turn. I had 9 single wins while Glados didn't have any, but I feel like the likelihood of him not having any while I had 9 is pretty slim, so it would seem to me that he didn't seize his chances to take single wins.","I realized after a few games that he wasn't pressing buttons some of the time, so I felt like his physical actions didn't have real consequences in the game. However, I liked his various realistic motions (i.e. looking into the screen, leaning back out of the screen, attempting to hit buttons--the keyboard shifted a few times so he was missing them some of the time, and especially looking at me). These motions made it feel more realistic.","I originally thought that the camera might have served some purpose, like he was looking at the screen, and making his move based on that. However, once I realized that he wasn't striking buttons every turn and his physical actions didn't have consequences in the game, I felt like the camera was more for aesthetic than game play. Still, I think it added an extra element of personality and personableness to him. In short, it didn't affect my style of play, but I did like all his little motions.",I didn't recognize a change in play.,"Mostly no, but I did start out hoping to get team wins more than single wins. But after a few rounds with no luck, I thought that there was little likelihood for team wins, so I went for single wins when I had the chance. Other than that, there was no big difference as the game progressed.","Not really. Glados occasionally didn't hit keys when it seemed like he was supposed to, but maybe he wasn't at those times. He also shifted the keyboard occasionally with his sweeping motion.","I think the realistic motions (listed above) were great and I found them engaging. Even a robot like Glados, which isn't very human-like, can have certain motions that give him a personality, which is cool. I think if I felt like he actively changed the outcome of the game, I would have been more connected to him. But his head nods, looking at me, etc. was very personable.",NO,6,5,6,6,3,4,4,5,4,4,5,5,5,5,6,6,6,1 (not at all),3,4,5,4,5,3,4,4,3,5,5,5,5,6,6,n/a,5,"Took intro psych, participated in psych studies before","I noted this in an above field--I think if I felt like Glados actively changed the outcome of the game, I would have been more connected to him.",Not really.,
104,Not very competitive.,I felt that Glados was kind of unlucky in his card draws. ,"Glados kept ""looking"" at me, which made me kind of empathize with the fact that it wasn't winning. Towards the end, I definitely started giving humano-centric characteristics. These feelings affected my play because I gave up two single-win opportunities and donated cards to it, hoping that it would win at least one round. ","No, I did not notice any change in style.","Yes. I tried to give Glados more chances to win, instead of taking mostly single wins for myself.",No.,No.,NO,7 (fully understood),5,5,4,4,6,2,4,4,4,4,4,4,4,6,5,5,5,6,3,3,4,3,4,3,3,1 (disagree),6,6,7 (agree),5,7 (agree),4,Nope.,1 (not familiar),I haven't done any research of this kind before. I haven't played with robots before either. ,Responsive of Glados could be improved. ,"Yes, I have an event to attend after this. ",
105,"Not competitive. There was at least one game where I kept track of the cards and GLaDOS could have taken a single win, but it chose not to.",Neutral. I don't think it ever made any choice except to draw another card.,It did not affect my style. Mostly I chose to take the opportunities for single wins so the game could end sooner.,"I saw no change - as mentioned above, I believe it only ever chose to draw another card (maybe I missed something, though).","At first I wondered if I should try to get a team win, but pretty soon I decided I just wanted to finish as fast as possible. Besides, Kuka did not seem competitive even though I guess I could have been perceived as competitive.","Very clear, no confusion.","Not really. I guess I wouldn't perceive this robot as being particularly smart if the point was to be competitive, but perhaps it was not programmed to be competitive.",NO,7 (fully understood),4,3,1 (not entertaining),4,3,1 (not clever),4,4,5,3,2,5,4,4,3,5,1 (not at all),1 (not at all),2,1 (not responsive),1 (none),1 (not natural),2,1 (disagree),1 (disagree),1 (disagree),1 (disagree),1 (disagree),1 (disagree),2,3,4,"I didn't particularly feel an ""interaction"" with GLaDOS - it seemed kind of random or not responsive.",3,"I took Introduction to Psychology, and I had to participate in a couple of research studies (as a subject) for that class.",I thought it was fine.,"I was not really in a big rush, but it was not very interesting, partly because the robot always made the same non-competitive choice, so I didn't see why I should draw it out.",
106,Not very competitive,"he was pushing the same button. I was unsure if he can make the ""choice"" of donating cards as well. was a little weird to have him constantly move",there was not much interaction. but he seemed happy when we got a group win which could potentially increase my team win behavior. When he stares at you ones you take a single win you feel bad,no,it took some time for me to figure out how to select a card to give it,"yes, I had  trouble selecting the cards",feels weird to have them around,NO,5,4,5,3,3,2,2,3,3,4,4,3,2,2,4,3,4,1 (not at all),2,2,4,3,3,2,3,1 (disagree),4,2,3,6,2,4,4,make glaados push different buttons,6,"taken classes, been participant,read books and papers",the interface could be clearer,tired,
108,I feel that it was not competitive at all.,I don't think it was actually playing with me. I think it was just hitting certain buttons at random and that they actually did nothing.,I felt like it wasn't really playing with me. I think it was just doing a set of movements that it was programmed to do.,I think it nodded at me once when I took a single win.,At first I wanted to beat it but towards the end I wanted to have a team win because I felt I was beating it pretty badly so I felt sorry for it even though it is a robot. ,Maybe you should explain the game a little better by showing more examples.,No not really. I still feel that they are just machines without any human characteristics.,NO,5,5,3,5,1 (not team-like),2,1 (not clever),5,7 (very fair),7 (very honest),4,2,7 (very intelligent),7 (very clever),7 (very sincere),2,6,1 (not at all),1 (not at all),1 (poorly),3,2,3,2,2,1 (disagree),1 (disagree),3,2,1 (disagree),2,3,2,I don't think GLaDOS was really thinking. It was just running through a program installed in it.,5,I am dating a psychologist and I have partook in studies before. ,Stress that you are to play as a team more that by yourself.,no rush.,
109,Very competitive,Indifferent,"Yes, I started the game trying to give him cards to achieve a win together, but GLaDOS never gave me cards in return, so I started taking single win opportunities.
i passed on single wins few times trying to achieve a win with GLaDOS and only once it happened",Np,"Yes, I started the game trying to give him cards to achieve a win together, but GLaDOS never gave me cards in return, so I started taking single win opportunities.
i passed on single wins few times trying to achieve a win with GLaDOS and only once it happened",No,Not really,NO,6,3,3,2,1 (not team-like),4,4,5,4,5,6,5,5,5,7 (very sincere),7 (very fair),7 (very honest),1 (not at all),1 (not at all),3,1 (not responsive),1 (none),1 (not natural),1 (none),2,4,4,1 (disagree),3,1 (disagree),1 (disagree),3,1 (disagree),Nope,5,taken a psychology classes and conducted research,I didn't see any core changes needed to be done,"Not in a rush, but I never see any reason in prolonging anything which can be done faster with the same result",
110,Not competitive at all. ,Nothing ,None ,No ,No ,No ,No ,NO,5,6,4,2,3,3,2,3,3,2,1 (not friendly),1 (not team-like),6,6,2,2,7 (very honest),1 (not at all),1 (not at all),1 (poorly),1 (not responsive),1 (none),1 (not natural),1 (none),1 (disagree),1 (disagree),1 (disagree),1 (disagree),1 (disagree),1 (disagree),1 (disagree),1 (disagree),1 (disagree),No ,1 (not familiar),None ,None ,Yes. Studies ,
111,Not competitive at all--it didn't win once!,"As ridiculous as it sounds, I felt bad for GLaDOS.","It was admittedly a bit unnerving when the robot would appear to look at me. I would have been open to giving the robot cards if it meant a Team Win, but I never had the right cards to make it happen.",I didn't notice a change in play style.,"I started keeping closer tabs on the robot's cards, and was trying to facilitate a team win.",Everything went smoothly.,"I hadn't interacted with this kind of robot before, so it was an interesting experience. I had to keep reminding myself that it was an inanimate object.",NO,7 (fully understood),5,3,4,2,3,3,4,4,4,5,5,5,5,6,6,5,1 (not at all),5,2,3,3,4,5,3,6,2,3,5,5,3,5,4,Very interesting!,3,"I have taken an introductory psychology class, and have participated in several psychology studies previously.","Since the Team Wins were explained before the Single Wins, I wasn't entirely sure if racking up wins for myself was the ultimate goal, or if I should be more invested in helping GLaDOS win, too.",I was not in a rush.,
112,He wasn't competing at all,he stared at me when I took single wins,I wasn't paying attention to it,he stared at me when I took single wins,"I was trying to do a team win, but then I realized that I misunderstood the rules of the game and I started taking single wins",I didn't understand how to do a team win,I don't think it did,NO,3,4,4,3,1 (not team-like),4,4,4,4,4,4,7 (very team-like),4,4,7 (very sincere),5,7 (very honest),1 (not at all),1 (not at all),4,4,4,4,4,4,4,4,4,4,4,4,7 (agree),4,I would change the color of Glados,4,-,Being able to get back to rules during the game,,
113,Not competitive at all.,"Lazy, not putting in effort, always pick the default move",None,No,"Felt that the game is rigged, I tried to trigger the cheat.",none,No,NO,6,4,4,4,4,1 (not intelligent),1 (not clever),4,4,4,3,3,5,4,1 (not sincere),4,4,1 (not at all),1 (not at all),1 (poorly),1 (not responsive),1 (none),1 (not natural),1 (none),1 (disagree),1 (disagree),1 (disagree),1 (disagree),1 (disagree),1 (disagree),1 (disagree),1 (disagree),1 (disagree),,1 (not familiar),,Explaining the rule of the center card? Does it get trashed and redrew every round?,The whole experiment can be done completely focus on the computer screen and I did't bother observed anything beyond the computer screen.,
114,"It seem that Glados was somewhat competitive in that it did not ever share cards despite how many times I shared cards with it. I don't know if I missed in the intro video that it was not capable of sharing cards. 

There was never a single team win despite how many of the same card I shared with her. ",It was odd to play with a machine but I don't know that I felt anything about glados. ,Glados would turn its arm/eye toward me every round or so. Perhaps this made me a little more inclined to try for single wins. I definitely took the single when when the change arose. Though I'm not sure if this would have been any different if I had been playing with a person.,I did not. It seemed like it was just drawing cards the whole time. Though as the game progressed it did get quicker at making decisions. ,I don't think it did. ,I was a little unclear about how to get a team win. I thought we should have been able to get one as I shared the same card multiple times a game and would have thought glados had enough for a team win. Perhaps I was a little unclear on the rules. ,No...,NO,5,4,3,6,1 (not team-like),4,2,2,3,2,5,6,6,5,6,6,5,1 (not at all),5,3,4,1 (none),4,2,3,3,3,2,3,3,2,5,4,No,3,I have participated in a few psych experiments and chat about research with a few colleagues who are in evolutionary psychology.,Include a printout of the rule sheet..?,Not really. I had somewhere to be about a half an hour after completing the experiment but I did not feel like the experiment took up too much time. ,
115,"not competitive at all, maybe i didn't understand the rules that well",feel nothing in specific,"I didn't understand the way the robot was playing, wasn't able to see the interaction",no,"Y tried doing something different,  give cards that I have",Maybe I should watch the video game explanation twice. ,no,NO,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,1 (not at all),1 (not at all),4,3,3,3,1 (none),4,2,3,3,1 (disagree),5,3,2,5,no,1 (not familiar),Have no previous experience,I should watch the game explanation twice,,
116,Not at all competitive. ,"seems like he's only looking for team wins, doesn't really take single wins.",not that much.,"no, did not notice a change","yes, tried to get more team wins as it was really easy to get the simple wins and I wanted to see if Glados would donate cards to get a team win.","no, quite simple. ",No.,NO,5,7 (very friendly),7 (very playful),7 (very entertaining),5,4,4,7 (very sincere),7 (very fair),7 (very honest),7 (very friendly),7 (very team-like),5,6,7 (very sincere),7 (very fair),7 (very honest),1 (not at all),2,3,2,3,4,4,3,1 (disagree),3,6,7 (agree),6,5,7 (agree),6,no,1 (not familiar),Not really familiar with it.,I had a pretty good experience. Perhaps include a couple of trial rounds at the beginning to really understand the game well.,No,
117,not at all. he never took a single win,i didnt like that he checked me out after every move. otherwise he was a pretty boring play partner,"i was slightly surprised that he never took single wins and never donated cards, so just to test what happens / what he was up to, i donated many cards to him.",no,i was desperate for a team win in the end. so i always gave him my cards when i thought he might have a chance of securing 5 of the same kind.,i wasnt totally clear on the team win because the situation never occurred.,"its scary to look them in the eyes and have no idea, what they are ""thinking"" .. they might be using some spaced out technology to scan your brain or something and you would never know.",NO,6,2,1 (not playful),1 (not entertaining),5,2,2,4,5,4,4,6,4,3,6,7 (very fair),6,2,4,2,1 (not responsive),1 (none),1 (not natural),1 (none),1 (disagree),3,1 (disagree),1 (disagree),5,3,1 (disagree),4,1 (disagree),great questions. really get you thinking,2,experiments from the behavioral economics literature,maybe give as to how one can interact with the roboter,yes because after a point it felt a bit stupid,
118,"Every turn GLaDOS drew a card, so that gave the impression of pure chance.","Curious. I wanted to if GLaDOS ever gave me a card or took a win, but it never happened.",I do not feel as though it did.,No. Every move of every game was the same.,"I did. At first I was trying to make GLaDOS win to see what happened, but I was pretty sure that it never did, since I think I gave it 3 of the same card that it already had one of one game. After that I just tried to win.",No.,No.,NO,7 (fully understood),4,4,4,4,4,4,4,4,4,4,6,5,6,6,6,6,1 (not at all),2,1 (poorly),1 (not responsive),2,2,1 (none),1 (disagree),3,1 (disagree),1 (disagree),1 (disagree),1 (disagree),1 (disagree),4,1 (disagree),Not that I can think of.,2,Basic psychology courses and some research about predicting post-surgical delirium. Participated in a few studies before.,I don't have any concrete suggestions.,No.,
